L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,test_auc
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.19,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1910000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1920000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1930000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1940000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1950000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1960000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1970000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1980000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1990000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2000000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2010000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2020000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.2030000000000001,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
