L1,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.066,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.067,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.068,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.069,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.07,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.071,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.072,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.073,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.074,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.075,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.076,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.077,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.078,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.079,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.08,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.081,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.082,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.083,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.084,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.085,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.086,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
